F10-073,"Chapa B.Carb 6,35mm / 1/4""",DIVERSAS MEDIDAS,0,850," R$  3,30 ","0,00",09/01/2019
F10-073,"Chapa B.Carb 8,00mm / 5/16""",DIVERSAS MEDIDAS,0,2145," R$  3,30 ","0,00",09/01/2019
F10-073,"Chapa B.Carb 19,00mm / 3/4""",DIVERSAS MEDIDAS,0,2535," R$  3,30 ","0,00",09/01/2019
F10-074,"Chapa B.Carb 38,00mm / 1 1/2""",,0,40," R$  8,00 ","0,00",11/01/2019
F10-074,"Chapa B.Carb 76,80mm / 3""",,0,6," R$  91,00 ","0,00",11/01/2019
F10-074,"Chapa B.Carb 50,80mm / 2""",,0,12," R$  25,00 ","0,00",11/01/2019
F10-074,"Chapa B.Carb 101,60mm / 4""",,0,6," R$  140,00 ","0,00",11/01/2019
F10-074,"Chapa B.Carb 25,40mm / 1""",,0,5," R$  5,40 ","0,00",11/01/2019
F10-075,"Chapa B.Carb 16,00mm / 5/8""",,0,2030," R$  3,30 ","0,00",11/01/2019
F10-076,"Chapa B.Carb 1,20mm / #18 / FF",,0,2000," R$  3,80 ","0,00",15/01/2019
F10-076,"Chapa B.Carb Galv 1,55mm / #16",,0,2000," R$  4,90 ","0,00",15/01/2019
F10-077,"Chapa Inox 430 0,80mm / ESCOVADO",1200x3000mm,15,116," R$  13,50 ","0,05",17/01/2019
F10-078,"Chapa B.Carb 0,90mm / #20 / FF",1200x2000mm,0,1000," R$  4,10 ","0,05",17/01/2019
F10-078,"Chapa B.Carb 1,20mm / #18 / FF",1200x3000mm,0,1000," R$  4,10 ","0,05",17/01/2019
F10-079,"Chapa B.Carb 12,70mm / 1/2""",1500x3000mm,2,900," R$  3,60 ","0,00",18/01/2019
F10-080,"Chapa B.Carb 1,20mm / #18 / FF",1200x3000mm,30,1000," R$  4,10 ","0,05",18/01/2019
F10-081,"Chapa A36 3,00mm / #11",1500x3000mm,0,325," R$  4,39 ","0,00",21/01/2019
F10-081,"Chapa A36 4,75mm / 3/16""",1500x3000mm,0,513," R$  4,29 ","0,00",21/01/2019
F10-081,"Chapa A36 6,35mm / 1/4""",1500x3000mm,0,680," R$  4,29 ","0,00",21/01/2019
F10-082,"Metalon B.Carb 30X30X1,2mm",6000mm,2,13," R$  5,50 ","0,00",17/01/2019
F10-082,"Tubo B.Carb 50,80 X 1,20mm / 2""",6000mm,10,90," R$  5,70 ","0,00",17/01/2019
F10-083,"Chapa Inox 304 5,00mm / DECAPADO",,0,27," R$  22,00 ","0,00",17/01/2019
F10-084,"Chapa B.Carb 19,00mm / 3/4""",,0,400," R$  3,30 ","0,00",17/01/2019
F10-085,"Chapa 1045 8,00mm / 5/16""",,0,2037," R$  4,90 ","0,05",23/01/2019
F10-086,"Metalon B.Carb 80X40X1,5mm",6000mm,0,54," R$  5,15 ","0,05",22/01/2019
F10-086,"Metalon B.Carb 40X40X1,5mm",6000mm,0,55," R$  5,15 ","0,05",22/01/2019
F10-087,"Chapa B.Carb 38,00mm / 1 1/2""",,0,43," R$  6,56 ","0,00",24/01/2019
F10-088,"Chapa Aluminio Liso 2,00mm / #14",1000x3000mm,2,33," R$  19,80 ","0,05",24/01/2019
F10-089,"Chapa B.Carb 76,80mm / 3""",,0,6," R$  91,00 ","0,00",29/01/2019
F10-089,"Chapa B.Carb 50,80mm / 2""",,0,12," R$  25,00 ","0,00",29/01/2019
F10-089,"Chapa B.Carb 101,60mm / 4""",,0,6," R$  140,00 ","0,00",29/01/2019
F10-090,"Chapa B.Carb 25,40mm / 1""",DIVERSAS MEDIDAS,0,1948," R$  2,90 ","0,00",23/01/2019
F10-091,"Chapa B.Carb 9,50mm / 3/8""",1200x3000mm,0,2000," R$  3,80 ","0,00",29/01/2019
F10-091,"Chapa B.Carb 16,00mm / 5/8""",1200x3000mm,0,1000," R$  3,80 ","0,00",29/01/2019
F10-091,"Chapa B.Carb 12,70mm / 1/2""",1200x3000mm,0,2000," R$  3,80 ","0,00",29/01/2019
F10-091,"Chapa B.Carb Xadrez 3,00mm / #11 / 1/8""",1200x3000mm,0,2000," R$  4,00 ","0,00",29/01/2019
F10-092,"Tubo B.Carb 50,80 X 1,20mm / 2""",6000mm,0,70," R$  5,15 ","0,05",29/01/2019
F10-092,"Tubo B.Carb 38,10 X 1,20mm / 1 1/2""",6000mm,0,55," R$  5,15 ","0,05",29/01/2019
F10-092,"Tubo B.Carb 19,05 X 1,20mm / 3/4""",6000mm,0,16," R$  5,15 ","0,05",29/01/2019
F10-092,"Tubo B.Carb 22,20 X 1,20mm / 7/8""",6000mm,0,19," R$  5,15 ","0,05",29/01/2019
F10-092,"Tubo B.Carb 31,80 X 1,20mm / 1 1/4""",6000mm,0,27," R$  5,15 ","0,05",29/01/2019
F10-092,"Ferro Quadrado B.Carb 1""",6000mm,0,60," R$  5,60 ","0,05",29/01/2019
F10-092,"Ferro Chato B.Carb 1 1/2"" X 3/16""",6000mm,0,61," R$  4,25 ","0,05",29/01/2019
F10-093,"Chapa B.Carb 4,75mm / 3/16""",1200x3000mm,0,4000," R$  3,90 ","0,00",29/01/2019
F10-093,"Chapa B.Carb 0,90mm / #20 / FF",1200x3000mm,0,2000," R$  4,10 ","0,00",29/01/2019
F10-094,"Chapa B.Carb 2,65mm / #12 / FQ",1200x3000mm,0,2000," R$  3,80 ","0,00",04/02/2019
F10-094,"Chapa B.Carb 3,00mm / 1/8""",1200x3000mm,0,2000," R$  3,80 ","0,00",04/02/2019
F10-094,"Chapa B.Carb 6,35mm / 1/4""",1200x3000mm,0,2000," R$  3,80 ","0,00",04/02/2019
F10-094,"Chapa B.Carb 22,40mm / 7/8""",1200x3000mm,0,800," R$  3,80 ","0,00",04/02/2019
F10-095,"Chapa B.Carb 6,35mm / 1/4""",DIVERSAS MEDIDAS,0,64," R$  20,34 ","0,00",07/02/2019
F10-096,Chapa B.Carb Retalhos,DIVERSAS MEDIDAS,0,131," R$  3,30 ","0,00",07/02/2019
F10-097,"Haste Roscada 1"" 1020",200x1000mm,66,53," R$  54,18 ","0,00",13/02/2019
